frame,policy,measurementClass,frameDeadlineMisses,totalDeadlineMisses,selectedTiles,residentTiles,requestedUploadBytes,speculativeBytes,semanticUtility,routeCorridorQuality,budgetViolation
0,distance-only,analytical-scheduler-simulation,4,4,1,1,65536,0,7.27111,0,0
1,distance-only,analytical-scheduler-simulation,0,4,1,2,65536,0,5.08862,0,0
2,distance-only,analytical-scheduler-simulation,0,4,1,3,65536,0,4.75542,0,0
3,distance-only,analytical-scheduler-simulation,0,4,1,4,65536,0,4.75043,0,0
4,distance-only,analytical-scheduler-simulation,0,4,1,5,65536,0,3.97502,0,0
5,distance-only,analytical-scheduler-simulation,0,4,1,6,65536,0,3.92193,0,0
6,distance-only,analytical-scheduler-simulation,0,4,1,7,65536,0,3.37364,0,0
7,distance-only,analytical-scheduler-simulation,0,4,1,8,65536,0,3.1003,0,0
8,distance-only,analytical-scheduler-simulation,0,4,1,9,65536,0,3.06532,0,0
9,distance-only,analytical-scheduler-simulation,0,4,1,10,65536,0,2.39953,0,0
10,distance-only,analytical-scheduler-simulation,0,4,1,11,65536,0,2.0986,0,0
11,distance-only,analytical-scheduler-simulation,0,4,1,12,65536,0,2.00877,0,0
12,distance-only,analytical-scheduler-simulation,0,4,1,13,65536,0,1.94704,0,0
13,distance-only,analytical-scheduler-simulation,0,4,1,14,65536,0,1.9356,0,0
14,distance-only,analytical-scheduler-simulation,0,4,1,15,65536,0,1.50296,0,0
15,distance-only,analytical-scheduler-simulation,0,4,1,16,65536,0,1.51897,0,0
16,distance-only,analytical-scheduler-simulation,0,4,1,17,65536,0,1.43996,0,0
17,distance-only,analytical-scheduler-simulation,0,4,1,18,65536,0,1.38868,0,0
18,distance-only,analytical-scheduler-simulation,0,4,1,19,65536,0,1.38809,0,0
19,distance-only,analytical-scheduler-simulation,0,4,1,20,65536,0,1.31053,0,0
20,distance-only,analytical-scheduler-simulation,0,4,1,21,65536,0,1.32831,0,0
21,distance-only,analytical-scheduler-simulation,0,4,1,22,65536,0,1.22788,0,0
22,distance-only,analytical-scheduler-simulation,0,4,1,23,65536,0,1.22627,0,0
23,distance-only,analytical-scheduler-simulation,0,4,1,24,65536,0,1.21738,0,0
24,distance-only,analytical-scheduler-simulation,0,4,1,25,65536,0,1.18809,0,0
25,distance-only,analytical-scheduler-simulation,0,4,1,26,65536,0,1.20641,0,0
26,distance-only,analytical-scheduler-simulation,0,4,1,27,65536,0,1.16861,0,0
27,distance-only,analytical-scheduler-simulation,0,4,1,28,65536,0,1.13967,0,0
28,distance-only,analytical-scheduler-simulation,0,4,1,29,65536,0,1.09811,0,0
29,distance-only,analytical-scheduler-simulation,0,4,1,30,65536,0,1.08455,0,0
30,distance-only,analytical-scheduler-simulation,0,4,1,31,65536,0,1.05003,0,0
31,distance-only,analytical-scheduler-simulation,0,4,1,32,65536,0,1.02807,0,0
32,distance-only,analytical-scheduler-simulation,0,4,1,33,65536,0,0.996221,0,0
33,distance-only,analytical-scheduler-simulation,0,4,1,34,65536,0,0.98477,0,0
34,distance-only,analytical-scheduler-simulation,0,4,1,35,65536,0,0.957352,0,0
35,distance-only,analytical-scheduler-simulation,0,4,1,36,65536,0,0.937493,0,0
