frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,9.29412,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,39844,16.2692,63,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,7.34333,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,8.41842,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,8.22479,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,8.35521,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,8.29213,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,48,8,207096,0,0,159,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,8.69388,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,14084,15.7897,74,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,7.98175,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,9.46829,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,7.3055,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_cpu_measurements
