frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,26.5285,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000457394,33.3971,0.810266,0.988235,0.000457394,135,48,0,304100,92644,19.7605,67,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,23.5405,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00040539,33.9213,0.828819,0.988235,5.20038e-05,135,48,0,304100,0,0,79,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,13.4129,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000425208,33.714,0.822014,0.988235,1.98181e-05,135,48,0,304100,0,0,79,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,14.4198,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000476626,33.2182,0.805398,0.988235,5.14176e-05,135,48,0,304100,0,0,79,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,15.6893,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000544642,32.6389,0.783565,0.988235,6.80163e-05,135,48,0,304100,0,0,79,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,14.4486,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000578157,32.3795,0.773735,0.988235,3.35152e-05,135,48,8,304100,0,0,175,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,19.0069,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000524088,32.806,0.798621,0.988235,5.40691e-05,135,56,0,337076,32976,19.5269,79,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,15.1185,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000523074,32.8144,0.796563,0.988235,1.0145e-06,135,56,0,337076,0,0,88,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,13.4154,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000459305,33.379,0.814322,0.988235,6.37683e-05,135,56,0,337076,0,0,88,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,14.3775,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000431225,33.653,0.823147,0.988235,2.80804e-05,135,56,0,337076,0,0,88,0,0,0,vulkan_cpu_measurements
10,gpu-clustered,13.5266,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00040794,33.894,0.831973,0.988235,2.32852e-05,135,56,0,337076,0,0,88,0,0,0,vulkan_cpu_measurements
11,gpu-clustered,13.2768,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000418084,33.7874,0.830184,0.988235,1.01442e-05,135,56,8,337076,0,0,175,0,8,0,vulkan_cpu_measurements
12,gpu-clustered,19.0798,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000456242,33.408,0.828643,0.988235,3.81582e-05,135,64,0,365020,27944,18.463,88,0,0,0,vulkan_cpu_measurements
13,gpu-clustered,13.9288,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000539842,32.6773,0.805432,0.988235,8.36003e-05,135,64,0,365020,0,0,97,0,0,0,vulkan_cpu_measurements
14,gpu-clustered,13.9917,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000447845,33.4887,0.831836,0.988235,9.1997e-05,135,64,0,365020,0,0,97,0,0,0,vulkan_cpu_measurements
