frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,27.6116,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000917079,30.3759,0.744559,0.988235,0.000917079,123,48,0,337408,62136,19.5887,86,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,20.2055,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000991102,30.0388,0.736057,0.988235,7.4023e-05,123,48,0,337408,0,0,102,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,13.2506,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00102178,29.9064,0.719341,0.988235,3.06747e-05,123,48,0,337408,0,0,102,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,13.5914,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000996665,30.0145,0.717596,0.988235,2.51115e-05,123,48,0,337408,0,0,102,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,13.2385,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00101839,29.9209,0.706933,0.988235,2.17266e-05,123,48,0,337408,0,0,102,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,13.9982,0,0,0,0,0,0,0,cpu-fallback,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00102135,29.9083,0.702944,0.988235,2.95817e-06,124,48,8,337408,0,0,256,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,18.3362,0,0,0,0,0,0,0,cpu-fallback,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000927779,30.3256,0.72739,0.988235,9.35708e-05,124,56,0,400780,63372,17.7467,102,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,13.9343,0,0,0,0,0,0,0,cpu-fallback,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000991013,30.0392,0.711064,0.988235,6.32342e-05,124,56,0,400780,0,0,118,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,13.7987,0,0,0,0,0,0,0,cpu-fallback,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000988716,30.0493,0.712174,0.988235,2.29779e-06,124,56,0,400780,0,0,118,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,12.4252,0,0,0,0,0,0,0,cpu-fallback,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000961466,30.1707,0.723267,0.988235,2.72491e-05,124,56,0,400780,0,0,118,0,0,0,vulkan_cpu_measurements
