frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.35308,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,428340,40872,15.1854,88,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,8.48817,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,428340,0,0,104,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,8.13275,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,428340,0,0,104,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,8.44329,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,428340,0,0,104,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,8.43579,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,428340,0,0,104,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,8.26196,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,8,428340,0,0,278,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,8.62262,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,485220,56880,16.028,104,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,8.90454,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,485220,0,0,120,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,7.5145,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,485220,0,0,120,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,8.27288,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,485220,0,0,120,0,0,0,vulkan_cpu_measurements
10,gpu-clustered,8.38604,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,485220,0,0,120,0,0,0,vulkan_cpu_measurements
11,gpu-clustered,9.08837,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,8,485220,0,0,278,0,8,0,vulkan_cpu_measurements
12,gpu-clustered,9.02512,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,571060,85840,16.9216,120,0,0,0,vulkan_cpu_measurements
13,gpu-clustered,7.90304,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,571060,0,0,136,0,0,0,vulkan_cpu_measurements
14,gpu-clustered,7.74742,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,571060,0,0,136,0,0,0,vulkan_cpu_measurements
15,gpu-clustered,8.2415,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,571060,0,0,136,0,0,0,vulkan_cpu_measurements
16,gpu-clustered,8.28567,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,571060,0,0,136,0,0,0,vulkan_cpu_measurements
17,gpu-clustered,8.37775,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,8,571060,0,0,278,0,8,0,vulkan_cpu_measurements
18,gpu-clustered,9.85346,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,629496,58436,17.0309,136,0,0,0,vulkan_cpu_measurements
19,gpu-clustered,6.91625,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,629496,0,0,152,0,0,0,vulkan_cpu_measurements
20,gpu-clustered,9.22171,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,629496,0,0,152,0,0,0,vulkan_cpu_measurements
21,gpu-clustered,7.50579,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,629496,0,0,152,0,0,0,vulkan_cpu_measurements
22,gpu-clustered,9.07958,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,629496,0,0,152,0,0,0,vulkan_cpu_measurements
23,gpu-clustered,8.57917,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,8,629496,0,0,278,0,8,0,vulkan_cpu_measurements
24,gpu-clustered,12.0524,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,0,694504,65008,18.7547,152,0,0,0,vulkan_cpu_measurements
25,gpu-clustered,4.91546,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,0,694504,0,0,168,0,0,0,vulkan_cpu_measurements
26,gpu-clustered,7.70371,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,0,694504,0,0,168,0,0,0,vulkan_cpu_measurements
27,gpu-clustered,8.03842,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,0,694504,0,0,168,0,0,0,vulkan_cpu_measurements
28,gpu-clustered,8.27471,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,0,694504,0,0,168,0,0,0,vulkan_cpu_measurements
29,gpu-clustered,9.81267,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,80,8,694504,0,0,278,0,8,0,vulkan_cpu_measurements
30,gpu-clustered,13.6277,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,0,804456,109952,19.9009,168,0,0,0,vulkan_cpu_measurements
31,gpu-clustered,9.98542,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,0,804456,0,0,184,0,0,0,vulkan_cpu_measurements
32,gpu-clustered,4.58358,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,0,804456,0,0,184,0,0,0,vulkan_cpu_measurements
33,gpu-clustered,3.49437,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,0,804456,0,0,184,0,0,0,vulkan_cpu_measurements
34,gpu-clustered,8.17308,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,0,804456,0,0,184,0,0,0,vulkan_cpu_measurements
35,gpu-clustered,8.65175,0,0,0,0,0,0,0,cpu-fallback,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,88,8,804456,0,0,278,0,8,0,vulkan_cpu_measurements
36,gpu-clustered,9.80796,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,0,917004,112548,16.5564,184,0,0,0,vulkan_cpu_measurements
37,gpu-clustered,6.96033,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,0,917004,0,0,200,0,0,0,vulkan_cpu_measurements
38,gpu-clustered,9.37767,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,0,917004,0,0,200,0,0,0,vulkan_cpu_measurements
39,gpu-clustered,7.28671,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,0,917004,0,0,200,0,0,0,vulkan_cpu_measurements
40,gpu-clustered,8.26183,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,0,917004,0,0,200,0,0,0,vulkan_cpu_measurements
41,gpu-clustered,9.12363,0,0,0,0,0,0,0,cpu-fallback,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,96,8,917004,0,0,278,0,8,0,vulkan_cpu_measurements
42,gpu-clustered,12.8005,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,0,1046468,129464,19.6171,200,0,0,0,vulkan_cpu_measurements
43,gpu-clustered,3.78417,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,0,1046468,0,0,216,0,0,0,vulkan_cpu_measurements
44,gpu-clustered,8.62262,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,0,1046468,0,0,216,0,0,0,vulkan_cpu_measurements
45,gpu-clustered,7.55379,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,0,1046468,0,0,216,0,0,0,vulkan_cpu_measurements
46,gpu-clustered,8.22888,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,0,1046468,0,0,216,0,0,0,vulkan_cpu_measurements
47,gpu-clustered,8.52542,0,0,0,0,0,0,0,cpu-fallback,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,104,8,1046468,0,0,278,0,8,0,vulkan_cpu_measurements
48,gpu-clustered,12.3064,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,0,1157436,110968,18.3682,216,0,0,0,vulkan_cpu_measurements
49,gpu-clustered,5.06642,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,0,1157436,0,0,232,0,0,0,vulkan_cpu_measurements
50,gpu-clustered,7.58179,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,0,1157436,0,0,232,0,0,0,vulkan_cpu_measurements
51,gpu-clustered,8.27017,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,0,1157436,0,0,232,0,0,0,vulkan_cpu_measurements
52,gpu-clustered,9.65746,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,0,1157436,0,0,232,0,0,0,vulkan_cpu_measurements
53,gpu-clustered,7.21633,0,0,0,0,0,0,0,cpu-fallback,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,112,8,1157436,0,0,278,0,8,0,vulkan_cpu_measurements
54,gpu-clustered,8.21429,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,0,1300888,143452,13.1422,232,0,0,0,vulkan_cpu_measurements
55,gpu-clustered,8.54992,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,0,1300888,0,0,248,0,0,0,vulkan_cpu_measurements
56,gpu-clustered,8.26088,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,0,1300888,0,0,248,0,0,0,vulkan_cpu_measurements
57,gpu-clustered,8.74254,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,0,1300888,0,0,248,0,0,0,vulkan_cpu_measurements
58,gpu-clustered,7.85525,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,0,1300888,0,0,248,0,0,0,vulkan_cpu_measurements
59,gpu-clustered,8.56833,0,0,0,0,0,0,0,cpu-fallback,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,120,8,1300888,0,0,278,0,8,0,vulkan_cpu_measurements
