frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,beacon,28.1343,0.155334,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1956,0,0,0,0,0,0.00102221,29.9046,0.714372,0.988235,0.00102221,123,48,0,208980,39252,19.8698,64,0,0,0,vulkan_cpu_measurements
1,beacon,21.8384,0.149,0,0,0,0,0,0,cpu-fallback,100,48,48,178,25,147456,178,0,0,1955,0,0,0,0,0,0.00108795,29.6339,0.709816,0.988235,6.57386e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
2,beacon,15.5215,0.151375,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1957,0,0,0,0,0,0.00111492,29.5276,0.693227,0.988235,2.69634e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
3,beacon,14.3837,0.159375,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1962,0,0,0,0,0,0.00110284,29.5749,0.686055,0.988235,1.20727e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
4,beacon,14.7255,0.150417,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1954,0,0,0,0,0,0.0011429,29.4199,0.672388,0.988235,4.00578e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
5,beacon,14.0504,0.132917,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1944,0,0,0,0,0,0.00113866,29.4361,0.669103,0.988235,4.24029e-06,124,48,7,208980,0,0,165,0,7,0,vulkan_cpu_measurements
6,beacon,20.9262,0.13525,0,0,0,0,0,0,cpu-fallback,100,55,55,178,26,147456,178,0,0,1930,0,0,0,0,0,0.00105504,29.7673,0.691556,0.988235,8.36196e-05,124,55,0,221948,12968,19.4734,75,0,0,0,vulkan_cpu_measurements
7,beacon,14.4456,0.131916,0,0,0,0,0,0,cpu-fallback,100,55,55,178,26,147456,178,0,0,1923,4,0.0274329,0,0,0,0.00107947,29.6679,0.684775,0.988235,2.44262e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
8,beacon,14.1777,0.128959,0,0,0,0,0,0,cpu-fallback,100,55,55,178,27,147456,178,0,0,1922,8,0.0571514,0,0,0,0.00106671,29.7196,0.68668,0.988235,1.27621e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
9,beacon,14.9482,0.123916,0,0,0,0,0,0,cpu-fallback,100,55,55,178,26,147456,178,0,0,1919,9,0.0673574,0,0,0,0.00108001,29.6657,0.681584,0.988235,1.3302e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
10,beacon,15.3482,0.126708,0,0,0,0,0,0,cpu-fallback,100,55,55,178,26,147456,178,0,0,1909,14,0.106773,0,0,0,0.00114807,29.4003,0.66387,0.988235,6.80615e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
11,beacon,14.7379,0.134625,0,0,0,0,0,0,cpu-fallback,100,55,55,178,26,147456,178,0,0,1909,22,0.176135,0,0,0,0.00119162,29.2386,0.657217,0.988235,4.35483e-05,124,55,6,221948,0,0,164,0,6,0,vulkan_cpu_measurements
12,beacon,18.0113,0.12525,0,0,0,0,0,0,cpu-fallback,100,61,61,178,27,147456,178,0,0,1901,27,0.221405,0,0,0,0.00118466,29.2641,0.674599,0.988235,6.95515e-06,124,61,0,239060,17112,18.6455,82,0,0,0,vulkan_cpu_measurements
13,beacon,14.2024,0.119084,0,0,0,0,0,0,cpu-fallback,100,61,61,178,27,147456,178,0,0,1883,37,0.312399,0,0,0,0.00126254,28.9876,0.667965,0.988235,7.78754e-05,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
14,beacon,14.063,0.11725,0,0,0,0,0,0,cpu-fallback,100,61,61,178,27,147456,178,0,0,1875,44,0.37376,0,0,0,0.00107489,29.6863,0.705445,0.988235,0.000187644,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
