frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,beacon,18.1849,0.137375,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1956,0,0,0,0,0,0,99,1,135,48,0,324092,92644,16.1086,79,0,0,0,vulkan_cpu_measurements
1,beacon,20.2167,0.144625,0,0,0,0,0,0,cpu-fallback,100,48,48,178,25,147456,178,0,0,1955,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
2,beacon,12.9138,0.158167,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1957,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
3,beacon,13.0297,0.167084,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1962,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
4,beacon,14.2411,0.162875,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1954,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
5,beacon,14.0623,0.146917,0,0,0,0,0,0,cpu-fallback,100,48,48,178,26,147456,178,0,0,1944,0,0,0,0,0,0,99,1,135,48,8,324092,0,0,187,0,8,0,vulkan_cpu_measurements
6,beacon,16.5445,0.14225,0,0,0,0,0,0,cpu-fallback,100,56,56,178,26,147456,178,0,0,1930,0,0,0,0,0,0,99,1,135,56,0,357068,32976,18.2075,91,0,0,0,vulkan_cpu_measurements
7,beacon,12.7246,0.162625,0,0,0,0,0,0,cpu-fallback,100,56,56,178,26,147456,178,0,0,1923,4,0.0274329,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
8,beacon,12.7839,0.152042,0,0,0,0,0,0,cpu-fallback,100,56,56,178,27,147456,178,0,0,1922,8,0.0571514,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
9,beacon,11.8639,0.153041,0,0,0,0,0,0,cpu-fallback,100,56,56,178,26,147456,178,0,0,1919,9,0.0673574,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
