frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,adaptive-exact,30.9289,0.147667,0,0,0,0,0,0,cpu-fallback,100,48,48,180,24,147456,180,0,0,1964,0,0,72,0,0.4,0.00102221,29.9046,0.714372,0.988235,0.00102221,123,48,0,208980,39252,21.3531,64,0,0,0,vulkan_cpu_measurements
1,adaptive-exact,15.4754,0.162875,0,0,0,0,0,0,cpu-fallback,100,48,48,181,24,147456,181,0,0,1965,0,0,74,0,0.40884,0.00108795,29.6339,0.709816,0.988235,6.57386e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
2,adaptive-exact,21.4206,0.140959,0,0,0,0,0,0,cpu-fallback,100,48,48,181,24,147456,181,0,0,1967,0,0,74,0,0.40884,0.00111492,29.5276,0.693227,0.988235,2.69634e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
3,adaptive-exact,14.8545,0.136792,0,0,0,0,0,0,cpu-fallback,100,48,48,180,24,147456,180,0,0,1968,0,0,72,0,0.4,0.00110284,29.5749,0.686055,0.988235,1.20727e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
4,adaptive-exact,15.5064,0.138333,0,0,0,0,0,0,cpu-fallback,100,48,48,179,24,147456,179,0,0,1958,0,0,70,0,0.391061,0.0011429,29.4199,0.672388,0.988235,4.00578e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
5,adaptive-exact,14.4491,0.148166,0,0,0,0,0,0,cpu-fallback,100,48,48,179,24,147456,179,0,0,1948,0,0,70,0,0.391061,0.00113866,29.4361,0.669103,0.988235,4.24029e-06,124,48,7,208980,0,0,165,0,7,0,vulkan_cpu_measurements
6,adaptive-exact,20.1258,0.126917,0,0,0,0,0,0,cpu-fallback,100,55,55,180,24,147456,180,0,0,1937,0,0,72,0,0.4,0.00105504,29.7673,0.691556,0.988235,8.36196e-05,124,55,0,221948,12968,20.5255,75,0,0,0,vulkan_cpu_measurements
7,adaptive-exact,15.76,0.141792,0,0,0,0,0,0,cpu-fallback,100,55,55,181,24,147456,181,0,0,1937,0,0,74,0,0.40884,0.00107947,29.6679,0.684775,0.988235,2.44262e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
8,adaptive-exact,15.5914,0.132583,0,0,0,0,0,0,cpu-fallback,100,55,55,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0.00106671,29.7196,0.68668,0.988235,1.27621e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
9,adaptive-exact,14.8916,0.135042,0,0,0,0,0,0,cpu-fallback,100,55,55,181,25,147456,181,0,0,1939,0,0,74,0,0.40884,0.00108001,29.6657,0.681584,0.988235,1.3302e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
10,adaptive-exact,16.0709,0.136875,0,0,0,0,0,0,cpu-fallback,100,55,55,180,25,147456,180,0,0,1930,0,0,72,0,0.4,0.00114807,29.4003,0.66387,0.988235,6.80615e-05,124,55,0,221948,0,0,82,0,0,0,vulkan_cpu_measurements
11,adaptive-exact,14.7314,0.133125,0,0,0,0,0,0,cpu-fallback,100,55,55,181,25,147456,181,0,0,1942,0,0,74,0,0.40884,0.00119162,29.2386,0.657217,0.988235,4.35483e-05,124,55,6,221948,0,0,164,0,6,0,vulkan_cpu_measurements
12,adaptive-exact,17.8195,0.128542,0,0,0,0,0,0,cpu-fallback,100,61,61,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0.00118466,29.2641,0.674599,0.988235,6.95515e-06,124,61,0,239060,17112,18.052,82,0,0,0,vulkan_cpu_measurements
13,adaptive-exact,14.4115,0.137375,0,0,0,0,0,0,cpu-fallback,100,61,61,179,25,147456,179,0,0,1923,0,0,70,0,0.391061,0.00126254,28.9876,0.667965,0.988235,7.78754e-05,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
14,adaptive-exact,15.1575,0.1275,0,0,0,0,0,0,cpu-fallback,100,61,61,179,25,147456,179,0,0,1922,0,0,70,0,0.391061,0.00107489,29.6863,0.705445,0.988235,0.000187644,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
15,adaptive-exact,14.5772,0.132042,0,0,0,0,0,0,cpu-fallback,100,61,61,179,25,147456,179,0,0,1910,0,0,70,0,0.391061,0.000974408,30.1126,0.723793,0.988235,0.000100485,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
16,adaptive-exact,14.4903,0.13025,0,0,0,0,0,0,cpu-fallback,100,61,61,179,25,147456,179,0,0,1912,0,0,70,0,0.391061,0.000981955,30.0791,0.721751,0.988235,7.54722e-06,124,61,0,239060,0,0,93,0,0,0,vulkan_cpu_measurements
17,adaptive-exact,14.9748,0.149917,0,0,0,0,0,0,cpu-fallback,100,60,60,178,25,147456,178,0,0,1903,0,0,68,0,0.382022,0.00102063,29.9113,0.715516,0.988235,3.86712e-05,123,61,5,239060,0,0,162,0,5,0,vulkan_cpu_measurements
18,adaptive-exact,17.6141,0.142292,0,0,0,0,0,0,cpu-fallback,100,65,65,179,24,147456,179,0,0,1895,0,0,70,0,0.391061,0.000973105,30.1184,0.726599,0.988235,4.75205e-05,123,66,0,246956,7896,18.0189,91,0,0,0,vulkan_cpu_measurements
19,adaptive-exact,14.2669,0.12075,0,0,0,0,0,0,cpu-fallback,100,65,65,179,24,147456,179,0,0,1889,0,0,70,0,0.391061,0.00097181,30.1242,0.733255,0.988235,1.29546e-06,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
20,adaptive-exact,17.3305,0.115625,0,0,0,0,0,0,cpu-fallback,100,65,65,180,24,147456,180,0,0,1893,0,0,72,0,0.4,0.00093809,30.2776,0.748036,0.988235,3.37198e-05,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
21,adaptive-exact,14.3509,0.119166,0,0,0,0,0,0,cpu-fallback,100,65,65,181,26,147456,181,0,0,1908,0,0,74,0,0.40884,0.000938308,30.2765,0.75694,0.988235,2.1831e-07,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
22,adaptive-exact,15.6648,0.132958,0,0,0,0,0,0,cpu-fallback,100,65,65,181,26,147456,181,0,0,1927,0,0,74,0,0.40884,0.000976503,30.1033,0.74678,0.988235,3.81948e-05,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
23,adaptive-exact,14.8004,0.158209,0,0,0,0,0,0,cpu-fallback,100,65,65,180,26,147456,180,0,0,1923,0,0,72,0,0.4,0.00103585,29.847,0.728774,0.988235,5.93437e-05,123,66,5,246956,0,0,162,0,5,0,vulkan_cpu_measurements
24,adaptive-exact,18.7342,0.143625,0,0,0,0,0,0,cpu-fallback,100,70,70,180,26,147456,180,0,0,1925,0,0,72,0,0.4,0.000944953,30.2459,0.736918,0.988235,9.08937e-05,123,71,0,257308,10352,18.4233,96,0,0,0,vulkan_cpu_measurements
25,adaptive-exact,15.4269,0.13025,0,0,0,0,0,0,cpu-fallback,100,70,70,180,26,147456,180,0,0,1926,0,0,72,0,0.4,0.00104079,29.8264,0.708208,0.988235,9.58368e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
26,adaptive-exact,15.8974,0.131125,0,0,0,0,0,0,cpu-fallback,100,70,70,180,26,147456,180,0,0,1928,0,0,72,0,0.4,0.00103423,29.8538,0.701849,0.988235,6.55524e-06,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
27,adaptive-exact,14.7908,0.146292,0,0,0,0,0,0,cpu-fallback,100,70,70,179,26,147456,179,0,0,1931,0,0,70,0,0.391061,0.00097499,30.11,0.712622,0.988235,5.92444e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
28,adaptive-exact,15.2907,0.130791,0,0,0,0,0,0,cpu-fallback,100,70,70,179,26,147456,179,0,0,1934,0,0,70,0,0.391061,0.000897662,30.4689,0.729145,0.988235,7.73281e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
29,adaptive-exact,15.9112,0.133292,0,0,0,0,0,0,cpu-fallback,100,69,69,179,26,147456,179,0,0,1946,0,0,70,0,0.391061,0.00085404,30.6852,0.73845,0.988235,4.36219e-05,122,71,5,257308,0,0,161,0,5,0,vulkan_cpu_measurements
30,adaptive-exact,18.623,0.148958,0,0,0,0,0,0,cpu-fallback,100,74,74,179,26,147456,179,0,0,1948,0,0,70,0,0.391061,0.00071943,31.4301,0.784389,0.988235,0.000134611,122,76,0,286428,29120,18.5108,100,0,0,0,vulkan_cpu_measurements
31,adaptive-exact,22.1837,0.131541,0,0,0,0,0,0,cpu-fallback,100,74,74,179,26,147456,179,0,0,1953,0,0,70,0,0.391061,0.00070054,31.5457,0.788127,0.988235,1.88902e-05,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
32,adaptive-exact,14.4295,0.136625,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1946,0,0,70,0,0.391061,0.000697794,31.5627,0.792512,0.972549,2.74525e-06,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
33,adaptive-exact,17.235,0.143458,0,0,0,0,0,0,cpu-fallback,100,74,74,178,25,147456,178,0,0,1942,0,0,68,0,0.382022,0.000696919,31.5682,0.797562,0.988235,8.75353e-07,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
34,adaptive-exact,15.388,0.144834,0,0,0,0,0,0,cpu-fallback,100,74,74,178,25,147456,178,0,0,1938,0,0,68,0,0.382022,0.000713321,31.4671,0.798627,0.988235,1.64025e-05,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
35,adaptive-exact,15.0643,0.12875,0,0,0,0,0,0,cpu-fallback,100,74,74,178,26,147456,178,0,0,1938,0,0,68,0,0.382022,0.000711104,31.4807,0.80305,0.988235,2.21765e-06,122,76,5,286428,0,0,161,0,5,0,vulkan_cpu_measurements
36,adaptive-exact,19.293,0.124916,0,0,0,0,0,0,cpu-fallback,100,79,79,178,26,147456,178,0,0,1929,0,0,68,0,0.382022,0.000731091,31.3603,0.808699,0.988235,1.99873e-05,122,81,0,294216,7788,18.519,106,0,0,0,vulkan_cpu_measurements
37,adaptive-exact,16.1936,0.125875,0,0,0,0,0,0,cpu-fallback,100,79,79,178,26,147456,178,0,0,1919,0,0,68,0,0.382022,0.000719394,31.4303,0.81788,0.988235,1.16967e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
38,adaptive-exact,15.6846,0.137542,0,0,0,0,0,0,cpu-fallback,100,79,79,178,27,147456,178,0,0,1914,0,0,68,0,0.382022,0.000697628,31.5638,0.825794,0.988235,2.17663e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
39,adaptive-exact,15.15,0.146333,0,0,0,0,0,0,cpu-fallback,100,79,79,178,27,147456,178,0,0,1908,0,0,68,0,0.382022,0.000667044,31.7585,0.835683,0.988235,3.05844e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
40,adaptive-exact,14.9803,0.151625,0,0,0,0,0,0,cpu-fallback,100,79,79,177,27,147456,177,0,0,1889,0,0,66,0,0.372881,0.000648712,31.8795,0.840939,0.988235,1.83318e-05,122,81,0,294216,0,0,111,0,0,0,vulkan_cpu_measurements
41,adaptive-exact,16.32,0.170292,0,0,0,0,0,0,cpu-fallback,100,79,79,175,27,147456,175,0,0,1877,0,0,62,0,0.354286,0.000664436,31.7755,0.834189,0.988235,1.57239e-05,122,81,5,294216,0,0,162,0,5,0,vulkan_cpu_measurements
42,adaptive-exact,18.4213,0.14225,0,0,0,0,0,0,cpu-fallback,100,84,84,173,27,147456,173,0,0,1855,0,0,58,0,0.33526,0.000646444,31.8947,0.834796,0.988235,1.79923e-05,122,86,0,304020,9804,19.8324,111,0,0,0,vulkan_cpu_measurements
43,adaptive-exact,16.0413,0.137,0,0,0,0,0,0,cpu-fallback,100,84,84,173,27,147456,173,0,0,1855,0,0,58,0,0.33526,0.000656219,31.8295,0.826317,0.988235,9.77498e-06,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
44,adaptive-exact,15.0144,0.115791,0,0,0,0,0,0,cpu-fallback,100,84,84,173,27,147456,173,0,0,1854,0,0,58,0,0.33526,0.00070493,31.5185,0.817125,0.988235,4.87111e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
45,adaptive-exact,15.4205,0.117125,0,0,0,0,0,0,cpu-fallback,100,84,84,173,27,147456,173,0,0,1844,0,0,58,0,0.33526,0.000764069,31.1687,0.801043,0.988235,5.91394e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
46,adaptive-exact,15.9126,0.129666,0,0,0,0,0,0,cpu-fallback,100,84,84,173,27,147456,173,0,0,1844,0,0,58,0,0.33526,0.000739985,31.3078,0.804559,0.988235,2.40842e-05,122,86,0,304020,0,0,116,0,0,0,vulkan_cpu_measurements
47,adaptive-exact,16.493,0.137375,0,0,0,0,0,0,cpu-fallback,100,83,83,173,27,147456,173,0,0,1842,0,0,58,0,0.33526,0.000698676,31.5572,0.809759,0.988235,4.13092e-05,122,85,5,302120,0,0,161,0,5,0,vulkan_cpu_measurements
48,adaptive-exact,21.1779,0.143208,0,0,0,0,0,0,cpu-fallback,100,88,88,176,27,147456,176,0,0,1862,0,0,64,0,0.363636,0.000650205,31.8695,0.824382,0.988235,4.8471e-05,122,90,0,328564,26444,21.97,115,0,0,0,vulkan_cpu_measurements
49,adaptive-exact,15.708,0.129041,0,0,0,0,0,0,cpu-fallback,100,88,88,176,27,147456,176,0,0,1864,0,0,64,0,0.363636,0.000659389,31.8086,0.825303,0.988235,9.1845e-06,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
50,adaptive-exact,16.0822,0.127166,0,0,0,0,0,0,cpu-fallback,100,88,88,175,27,147456,175,0,0,1860,0,0,62,0,0.354286,0.00069326,31.591,0.823163,0.988235,3.38711e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
51,adaptive-exact,15.6604,0.128292,0,0,0,0,0,0,cpu-fallback,100,88,88,176,28,147456,176,0,0,1859,0,0,64,0,0.363636,0.000704493,31.5212,0.825561,0.988235,1.12323e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
52,adaptive-exact,15.9091,0.130667,0,0,0,0,0,0,cpu-fallback,100,88,88,176,28,147456,176,0,0,1860,0,0,64,0,0.363636,0.000678975,31.6815,0.828307,0.988235,2.55173e-05,122,90,0,328564,0,0,121,0,0,0,vulkan_cpu_measurements
53,adaptive-exact,15.5944,0.135584,0,0,0,0,0,0,cpu-fallback,100,88,88,174,27,147456,174,0,0,1847,0,0,60,0,0.344828,0.000681869,31.663,0.828928,0.976471,2.89419e-06,122,90,5,328564,0,0,161,0,5,0,vulkan_cpu_measurements
54,adaptive-exact,20.3645,0.122792,0,0,0,0,0,0,cpu-fallback,100,93,93,174,27,147456,174,0,0,1842,0,0,60,0,0.344828,0.000636975,31.9588,0.843989,0.988235,4.48949e-05,122,95,0,339832,11268,19.9495,121,0,0,0,vulkan_cpu_measurements
55,adaptive-exact,16.2075,0.123917,0,0,0,0,0,0,cpu-fallback,100,93,93,174,27,147456,174,0,0,1840,0,0,60,0,0.344828,0.000639769,31.9398,0.836028,0.988235,2.79422e-06,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
56,adaptive-exact,15.8125,0.125291,0,0,0,0,0,0,cpu-fallback,100,93,93,174,27,147456,174,0,0,1850,0,0,60,0,0.344828,0.000640426,31.9353,0.826561,0.988235,6.57377e-07,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
57,adaptive-exact,16.1784,0.134042,0,0,0,0,0,0,cpu-fallback,100,93,93,174,27,147456,174,0,0,1857,0,0,60,0,0.344828,0.000639571,31.9411,0.819109,0.988235,8.55618e-07,122,95,0,339832,0,0,126,0,0,0,vulkan_cpu_measurements
