frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,adaptive-exact,15.953,0.146125,0,0,0,0,0,0,cpu-fallback,100,48,48,180,24,147456,180,0,0,1964,0,0,72,0,0.4,0,99,1,135,48,0,324092,92644,15.2715,79,0,0,0,vulkan_cpu_measurements
1,adaptive-exact,16.1197,0.135417,0,0,0,0,0,0,cpu-fallback,100,48,48,181,24,147456,181,0,0,1965,0,0,74,0,0.40884,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
2,adaptive-exact,11.96,0.147125,0,0,0,0,0,0,cpu-fallback,100,48,48,181,24,147456,181,0,0,1967,0,0,74,0,0.40884,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
3,adaptive-exact,12.1689,0.139625,0,0,0,0,0,0,cpu-fallback,100,48,48,180,24,147456,180,0,0,1968,0,0,72,0,0.4,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
4,adaptive-exact,11.4607,0.146417,0,0,0,0,0,0,cpu-fallback,100,48,48,179,24,147456,179,0,0,1958,0,0,70,0,0.391061,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
5,adaptive-exact,11.0985,0.151208,0,0,0,0,0,0,cpu-fallback,100,48,48,179,24,147456,179,0,0,1948,0,0,70,0,0.391061,0,99,1,135,48,8,324092,0,0,187,0,8,0,vulkan_cpu_measurements
6,adaptive-exact,17.2778,0.146792,0,0,0,0,0,0,cpu-fallback,100,56,56,180,24,147456,180,0,0,1937,0,0,72,0,0.4,0,99,1,135,56,0,357068,32976,16,91,0,0,0,vulkan_cpu_measurements
7,adaptive-exact,11.2497,0.141959,0,0,0,0,0,0,cpu-fallback,100,56,56,181,24,147456,181,0,0,1937,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
8,adaptive-exact,12.5375,0.154458,0,0,0,0,0,0,cpu-fallback,100,56,56,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
9,adaptive-exact,11.3978,0.152208,0,0,0,0,0,0,cpu-fallback,100,56,56,181,25,147456,181,0,0,1939,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
10,adaptive-exact,11.9349,0.161459,0,0,0,0,0,0,cpu-fallback,100,56,56,180,25,147456,180,0,0,1930,0,0,72,0,0.4,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
11,adaptive-exact,11.5918,0.163292,0,0,0,0,0,0,cpu-fallback,100,56,56,181,25,147456,181,0,0,1942,0,0,74,0,0.40884,0,99,1,135,56,8,357068,0,0,187,0,8,0,vulkan_cpu_measurements
12,adaptive-exact,17.8914,0.161708,0,0,0,0,0,0,cpu-fallback,100,64,64,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0,99,1,135,64,0,385012,27944,17.4146,100,0,0,0,vulkan_cpu_measurements
13,adaptive-exact,13.2077,0.173125,0,0,0,0,0,0,cpu-fallback,100,64,64,179,25,147456,179,0,0,1923,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_cpu_measurements
14,adaptive-exact,11.8667,0.150875,0,0,0,0,0,0,cpu-fallback,100,64,64,179,25,147456,179,0,0,1922,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_cpu_measurements
15,adaptive-exact,12.6867,0.150125,0,0,0,0,0,0,cpu-fallback,100,64,64,179,25,147456,179,0,0,1910,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_cpu_measurements
16,adaptive-exact,12.7881,0.151541,0,0,0,0,0,0,cpu-fallback,100,64,64,179,25,147456,179,0,0,1912,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_cpu_measurements
17,adaptive-exact,12.7025,0.163333,0,0,0,0,0,0,cpu-fallback,100,64,64,178,25,147456,178,0,0,1903,0,0,68,0,0.382022,0,99,1,135,64,8,385012,0,0,187,0,8,0,vulkan_cpu_measurements
18,adaptive-exact,16.6262,0.143792,0,0,0,0,0,0,cpu-fallback,100,72,72,179,24,147456,179,0,0,1895,0,0,70,0,0.391061,0,99,1,135,72,0,438304,53292,17.1354,109,0,0,0,vulkan_cpu_measurements
19,adaptive-exact,11.4146,0.138542,0,0,0,0,0,0,cpu-fallback,100,72,72,179,24,147456,179,0,0,1889,0,0,70,0,0.391061,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_cpu_measurements
20,adaptive-exact,12.7184,0.125458,0,0,0,0,0,0,cpu-fallback,100,72,72,180,24,147456,180,0,0,1893,0,0,72,0,0.4,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_cpu_measurements
21,adaptive-exact,10.9928,0.129375,0,0,0,0,0,0,cpu-fallback,100,72,72,181,26,147456,181,0,0,1908,0,0,74,0,0.40884,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_cpu_measurements
