frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.37162,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,39252,14.6837,64,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,8.45321,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,8.34667,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,8.26292,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,8.58917,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,8.10375,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,48,8,208980,0,0,165,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,8.60192,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,14684,15.6978,75,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,8.02613,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,8.26304,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,8.38254,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_cpu_measurements
10,gpu-clustered,8.30288,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_cpu_measurements
11,gpu-clustered,8.35112,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,8,223664,0,0,164,0,8,0,vulkan_cpu_measurements
12,gpu-clustered,9.32892,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,243376,19712,15.5122,83,0,0,0,vulkan_cpu_measurements
13,gpu-clustered,8.502,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,243376,0,0,96,0,0,0,vulkan_cpu_measurements
14,gpu-clustered,7.25992,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,243376,0,0,96,0,0,0,vulkan_cpu_measurements
15,gpu-clustered,8.41654,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,243376,0,0,96,0,0,0,vulkan_cpu_measurements
16,gpu-clustered,8.45792,0,0,0,0,0,0,0,cpu-fallback,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,243376,0,0,96,0,0,0,vulkan_cpu_measurements
17,gpu-clustered,8.39646,0,0,0,0,0,0,0,cpu-fallback,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,64,8,243376,0,0,162,0,8,0,vulkan_cpu_measurements
18,gpu-clustered,9.51662,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,260320,16944,16.573,94,0,0,0,vulkan_cpu_measurements
19,gpu-clustered,8.17,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,260320,0,0,102,0,0,0,vulkan_cpu_measurements
20,gpu-clustered,7.45621,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,260320,0,0,102,0,0,0,vulkan_cpu_measurements
21,gpu-clustered,8.33946,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,260320,0,0,102,0,0,0,vulkan_cpu_measurements
22,gpu-clustered,8.22533,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,260320,0,0,102,0,0,0,vulkan_cpu_measurements
23,gpu-clustered,8.32013,0,0,0,0,0,0,0,cpu-fallback,100,71,71,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,8,260320,0,0,162,0,8,0,vulkan_cpu_measurements
24,gpu-clustered,9.78271,0,0,0,0,0,0,0,cpu-fallback,100,79,79,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,80,0,292888,32568,16.7521,102,0,0,0,vulkan_cpu_measurements
25,gpu-clustered,7.00646,0,0,0,0,0,0,0,cpu-fallback,100,79,79,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,80,0,292888,0,0,111,0,0,0,vulkan_cpu_measurements
26,gpu-clustered,8.58083,0,0,0,0,0,0,0,cpu-fallback,100,79,79,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,80,0,292888,0,0,111,0,0,0,vulkan_cpu_measurements
27,gpu-clustered,8.23192,0,0,0,0,0,0,0,cpu-fallback,100,79,79,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,80,0,292888,0,0,111,0,0,0,vulkan_cpu_measurements
28,gpu-clustered,10.0068,0,0,0,0,0,0,0,cpu-fallback,100,79,79,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,80,0,292888,0,0,111,0,0,0,vulkan_cpu_measurements
29,gpu-clustered,7.10837,0,0,0,0,0,0,0,cpu-fallback,100,78,78,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,80,8,292888,0,0,161,0,8,0,vulkan_cpu_measurements
30,gpu-clustered,8.65779,0,0,0,0,0,0,0,cpu-fallback,100,86,86,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,88,0,308168,15280,13.1743,110,0,0,0,vulkan_cpu_measurements
31,gpu-clustered,7.71067,0,0,0,0,0,0,0,cpu-fallback,100,86,86,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,88,0,308168,0,0,118,0,0,0,vulkan_cpu_measurements
32,gpu-clustered,8.38346,0,0,0,0,0,0,0,cpu-fallback,100,86,86,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,88,0,308168,0,0,118,0,0,0,vulkan_cpu_measurements
33,gpu-clustered,8.00292,0,0,0,0,0,0,0,cpu-fallback,100,86,86,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,88,0,308168,0,0,118,0,0,0,vulkan_cpu_measurements
34,gpu-clustered,8.25446,0,0,0,0,0,0,0,cpu-fallback,100,86,86,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,122,88,0,308168,0,0,118,0,0,0,vulkan_cpu_measurements
