frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.69008,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,92644,15.8463,79,0,0,0,vulkan_cpu_measurements
1,gpu-clustered,7.96604,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
2,gpu-clustered,8.3995,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
3,gpu-clustered,8.14471,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
4,gpu-clustered,8.37175,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_cpu_measurements
5,gpu-clustered,8.31625,0,0,0,0,0,0,0,cpu-fallback,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,8,324092,0,0,187,0,8,0,vulkan_cpu_measurements
6,gpu-clustered,8.88404,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,32976,16.2742,91,0,0,0,vulkan_cpu_measurements
7,gpu-clustered,8.4895,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
8,gpu-clustered,7.76762,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
9,gpu-clustered,8.34854,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
10,gpu-clustered,9.08938,0,0,0,0,0,0,0,cpu-fallback,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_cpu_measurements
