frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.34904,0,0.21825,0.049042,0.106958,0.06225,0.004375,0.004375,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,39844,15.5772,63,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,7.34483,0,0.321292,0.071792,0.089125,0.160375,0.004459,0.004459,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,7.14029,0,0.344792,0.076125,0.090667,0.178,0.004459,0.004459,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,7.14592,0,0.312375,0.072583,0.103084,0.136708,0.004375,0.004375,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,7.005,0,0.214708,0.049083,0.104417,0.061208,0.004459,0.004459,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,207096,0,0,74,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.37058,0,0.282458,0.085208,0.091125,0.106125,0.0045,0.0045,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,48,8,207096,0,0,159,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,7.06738,0,0.305375,0.085,0.089,0.131375,0.0045,0.0045,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,14084,14.4092,74,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,7.11917,0,0.2055,0.049542,0.106708,0.04925,0.0045,0.0045,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.30679,0,0.30975,0.118459,0.059666,0.131625,0.004459,0.004459,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,7.18117,0,0.211291,0.04875,0.101208,0.061333,0.004375,0.004375,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_gpu_measurements
10,gpu-clustered,7.20087,0,0.218583,0.054375,0.101416,0.062792,0.004459,0.004459,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,221180,0,0,82,0,0,0,vulkan_gpu_measurements
