frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.32888,0,0.234042,0.053084,0.103583,0.077375,0.006083,0.006083,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,304100,92644,15.0738,67,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,7.42754,0,0.22375,0.055458,0.103,0.065292,0.004458,0.004458,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,304100,0,0,79,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,7.24954,0,0.226875,0.051083,0.091125,0.084667,0.0045,0.0045,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,304100,0,0,79,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,7.16538,0,0.211709,0.049625,0.101459,0.060625,0.004458,0.004458,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,304100,0,0,79,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,7.33996,0,0.212041,0.049708,0.101833,0.0605,0.004458,0.004458,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,304100,0,0,79,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.31846,0,0.211083,0.050125,0.100125,0.060833,0.0045,0.0045,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,8,304100,0,0,175,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,7.28217,0,0.222667,0.051667,0.126833,0.044167,0.00425,0.00425,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,337076,32976,14.5664,79,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,7.30813,0,0.227625,0.049959,0.093,0.084666,0.004333,0.004333,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,337076,0,0,88,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.2885,0,0.221542,0.04875,0.1215,0.051292,0.004208,0.004208,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,337076,0,0,88,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,7.30979,0,0.203458,0.049417,0.105041,0.049,0.004375,0.004375,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,337076,0,0,88,0,0,0,vulkan_gpu_measurements
10,gpu-clustered,7.24371,0,0.261,0.049167,0.10175,0.110083,0.004583,0.004583,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,337076,0,0,88,0,0,0,vulkan_gpu_measurements
11,gpu-clustered,7.29788,0,0.202667,0.04925,0.103708,0.049709,0.004875,0.004875,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,8,337076,0,0,175,0,8,0,vulkan_gpu_measurements
12,gpu-clustered,7.31479,0,0.299959,0.0525,0.194417,0.053042,0.004458,0.004458,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,365020,27944,15.1752,88,0,0,0,vulkan_gpu_measurements
13,gpu-clustered,7.46504,0,0.256792,0.051167,0.0955,0.110125,0.004375,0.004375,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,365020,0,0,97,0,0,0,vulkan_gpu_measurements
14,gpu-clustered,7.35304,0,0.223208,0.050792,0.091333,0.081083,0.00425,0.00425,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,365020,0,0,97,0,0,0,vulkan_gpu_measurements
15,gpu-clustered,7.29925,0,0.214542,0.050333,0.102917,0.061292,0.004458,0.004458,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,365020,0,0,97,0,0,0,vulkan_gpu_measurements
16,gpu-clustered,7.30208,0,0.239959,0.051167,0.10475,0.084042,0.004417,0.004417,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,365020,0,0,97,0,0,0,vulkan_gpu_measurements
17,gpu-clustered,7.1625,0,0.245042,0.053,0.107542,0.0845,0.004542,0.004542,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,8,365020,0,0,175,0,8,0,vulkan_gpu_measurements
18,gpu-clustered,7.37942,0,0.342625,0.056459,0.092458,0.193708,0.004542,0.004542,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,418312,53292,15.374,97,0,0,0,vulkan_gpu_measurements
19,gpu-clustered,7.28746,0,0.240041,0.051458,0.106167,0.082416,0.004583,0.004583,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,418312,0,0,107,0,0,0,vulkan_gpu_measurements
