frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.2725,0,0.3225,0.052958,0.109542,0.16,0.004583,0.004583,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,337408,62136,15.0557,86,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,7.45317,0,0.199958,0.05025,0.099333,0.050375,0.004542,0.004542,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,337408,0,0,102,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,8.06583,0,0.223333,0.051958,0.087959,0.083416,0.004542,0.004542,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,337408,0,0,102,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,6.45025,0,0.30675,0.048375,0.099417,0.158958,0.004541,0.004541,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,337408,0,0,102,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,7.35813,0,0.199042,0.049125,0.102292,0.047625,0.0045,0.0045,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,337408,0,0,102,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.27129,0,0.211708,0.050167,0.100375,0.061166,0.004584,0.004584,vulkan-query-pool,100,47,47,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,48,8,337408,0,0,256,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,7.20996,0,0.212375,0.049708,0.102333,0.060334,0.004958,0.004958,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,400780,63372,13.5081,102,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,7.22658,0,0.215333,0.050291,0.1025,0.062542,0.005084,0.005084,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,400780,0,0,118,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.37246,0,0.225959,0.051584,0.088791,0.085584,0.00475,0.00475,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,400780,0,0,118,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,7.21971,0,0.2045,0.050583,0.104,0.049917,0.00475,0.00475,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,400780,0,0,118,0,0,0,vulkan_gpu_measurements
10,gpu-clustered,7.23379,0,0.207791,0.050333,0.106167,0.051291,0.004833,0.004833,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,400780,0,0,118,0,0,0,vulkan_gpu_measurements
11,gpu-clustered,7.27642,0,0.225459,0.052417,0.123417,0.049625,0.004875,0.004875,vulkan-query-pool,100,55,55,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,8,400780,0,0,256,0,8,0,vulkan_gpu_measurements
12,gpu-clustered,7.15613,0,0.213541,0.052416,0.117375,0.04375,0.004541,0.004541,vulkan-query-pool,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,537548,136768,14.7135,118,0,0,0,vulkan_gpu_measurements
13,gpu-clustered,7.42413,0,0.22975,0.051583,0.091125,0.087042,0.004917,0.004917,vulkan-query-pool,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,537548,0,0,134,0,0,0,vulkan_gpu_measurements
14,gpu-clustered,8.12508,0,0.250542,0.053208,0.106167,0.091167,0.004875,0.004875,vulkan-query-pool,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,537548,0,0,134,0,0,0,vulkan_gpu_measurements
15,gpu-clustered,6.31829,0,0.227834,0.052959,0.090833,0.084042,0.004666,0.004666,vulkan-query-pool,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,537548,0,0,134,0,0,0,vulkan_gpu_measurements
16,gpu-clustered,7.32883,0,0.244458,0.053,0.106375,0.085083,0.005,0.005,vulkan-query-pool,100,63,63,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,64,0,537548,0,0,134,0,0,0,vulkan_gpu_measurements
17,gpu-clustered,8.04892,0,0.2265,0.060625,0.121542,0.044333,0.004625,0.004625,vulkan-query-pool,100,62,62,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,64,8,537548,0,0,254,0,8,0,vulkan_gpu_measurements
18,gpu-clustered,7.46296,0,0.305833,0.092291,0.061709,0.151833,0.004667,0.004667,vulkan-query-pool,100,70,70,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,645232,107684,16.3845,132,0,0,0,vulkan_gpu_measurements
19,gpu-clustered,5.87042,0,0.240292,0.054542,0.13825,0.0475,0.004625,0.004625,vulkan-query-pool,100,70,70,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,72,0,645232,0,0,148,0,0,0,vulkan_gpu_measurements
