frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,17.242,0,0.6585,0.052666,0.205542,0.400292,0.00775,0.00775,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000339637,34.6899,0.862666,0.988235,0.000339637,135,48,0,428340,40872,13.5385,88,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,5.06304,0,0.380666,0.066041,0.254375,0.06025,0.004167,0.004167,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000321484,34.9284,0.86838,0.854902,1.81525e-05,135,48,0,428340,0,0,104,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,10.1407,0,0.2955,0.077417,0.159208,0.058875,0.005584,0.005584,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000331278,34.7981,0.867137,0.988235,9.7934e-06,135,48,0,428340,0,0,104,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,4.88333,0,0.397208,0.054333,0.238125,0.10475,0.004166,0.004166,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000335089,34.7484,0.87035,0.988235,3.81108e-06,135,48,0,428340,0,0,104,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,5.07142,0,0.215833,0.051833,0.110459,0.053541,0.005333,0.005333,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000337147,34.7218,0.875743,0.988235,2.05804e-06,135,48,0,428340,0,0,104,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.74812,0,0.284834,0.075584,0.155666,0.053584,0.041917,0.041917,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000352503,34.5284,0.87337,0.988235,1.53568e-05,135,48,8,428340,0,0,278,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,10.8852,0,0.320333,0.052875,0.098041,0.169417,0.0045,0.0045,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000291036,35.3605,0.897614,0.988235,6.14673e-05,135,56,0,485220,56880,13.6051,104,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,6.54788,0,1.60546,1.50308,0.056167,0.046208,0.004458,0.004458,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000302404,35.1941,0.891483,0.988235,1.13682e-05,135,56,0,485220,0,0,120,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.46017,0,0.299042,0.079709,0.164375,0.054958,0.013042,0.013042,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000298662,35.2482,0.886043,0.988235,3.7424e-06,135,56,0,485220,0,0,120,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,8.29337,0,0.290667,0.063542,0.171708,0.055417,0.011709,0.011709,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000297651,35.2629,0.883582,0.988235,1.01052e-06,135,56,0,485220,0,0,120,0,0,0,vulkan_gpu_measurements
