frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,beacon,9.67467,0.138375,0.88425,0,0,0,0.035167,0.035167,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1956,0,0,0,0,0,0,99,1,123,48,0,208980,39252,12.4685,64,0,0,0,vulkan_gpu_measurements
1,beacon,6.95983,0.15075,0.042459,0,0,0,0.004208,0.004208,vulkan-query-pool,100,48,48,178,25,147456,178,0,0,1955,0,0,0,0,0,0,99,1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
2,beacon,8.21167,0.137,0.044458,0,0,0,0.004125,0.004125,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1957,0,0,0,0,0,0,99,1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
3,beacon,8.58558,0.136458,0.06525,0,0,0,0.004292,0.004292,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1962,0,0,0,0,0,0,99,1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
4,beacon,9.873,0.141,0.010125,0,0,0,0.004417,0.004417,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1954,0,0,0,0,0,0,99,1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
5,beacon,6.65058,0.133,0.024291,0,0,0,0.00425,0.00425,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1944,0,0,0,0,0,0,99,1,124,48,8,208980,0,0,165,0,8,0,vulkan_gpu_measurements
6,beacon,10.1772,0.15975,0.0055,0,0,0,0.004,0.004,vulkan-query-pool,100,56,56,178,26,147456,178,0,0,1930,0,0,0,0,0,0,99,1,124,56,0,223664,14684,12.5542,75,0,0,0,vulkan_gpu_measurements
7,beacon,6.48271,0.15225,0.035083,0,0,0,0.013583,0.013583,vulkan-query-pool,100,56,56,178,26,147456,178,0,0,1927,0,0,0,0,0,0,99,1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
8,beacon,8.42946,0.131667,0.087333,0,0,0,0.00425,0.00425,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1930,0,0,0,0,0,0,99,1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
9,beacon,8.72975,0.145667,0.046166,0,0,0,0.004292,0.004292,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1928,0,0,0,0,0,0,99,1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
