frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,beacon,9.25871,0.14075,0.122041,0,0,0,0.009791,0.009791,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1956,0,0,0,0,0,0,99,1,135,48,0,324092,92644,12.3278,79,0,0,0,vulkan_gpu_measurements
1,beacon,8.79117,0.133791,0.111292,0,0,0,0.002958,0.002958,vulkan-query-pool,100,48,48,178,25,147456,178,0,0,1955,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
2,beacon,7.61892,0.128459,0.439291,0,0,0,0.036542,0.036542,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1957,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
3,beacon,8.65875,0.160541,0.827708,0,0,0,0.004,0.004,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1962,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
4,beacon,8.32512,0.144417,0.032166,0,0,0,0.048042,0.048042,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1954,0,0,0,0,0,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
5,beacon,8.52512,0.187208,0.297166,0,0,0,0.004208,0.004208,vulkan-query-pool,100,48,48,178,26,147456,178,0,0,1944,0,0,0,0,0,0,99,1,135,48,8,324092,0,0,187,0,8,0,vulkan_gpu_measurements
6,beacon,10.3922,0.151833,0.005167,0,0,0,0.004208,0.004208,vulkan-query-pool,100,56,56,178,26,147456,178,0,0,1930,0,0,0,0,0,0,99,1,135,56,0,357068,32976,14.544,91,0,0,0,vulkan_gpu_measurements
7,beacon,6.21812,0.152166,0.061042,0,0,0,0.017292,0.017292,vulkan-query-pool,100,56,56,178,26,147456,178,0,0,1927,0,0,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
8,beacon,8.19904,0.15275,0.790208,0,0,0,0.012917,0.012917,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1930,0,0,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
9,beacon,8.39796,0.141292,0.107,0,0,0,0.009833,0.009833,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1928,0,0,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
10,beacon,8.48425,0.148167,0.398917,0,0,0,0.036625,0.036625,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1923,0,0,0,0,0,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
11,beacon,8.27017,0.1785,0.015625,0,0,0,0.016875,0.016875,vulkan-query-pool,100,56,56,178,27,147456,178,0,0,1931,0,0,0,0,0,0,99,1,135,56,8,357068,0,0,187,0,8,0,vulkan_gpu_measurements
12,beacon,10.5988,0.161708,0.016042,0,0,0,0.004208,0.004208,vulkan-query-pool,100,64,64,178,27,147456,178,0,0,1928,0,0,0,0,0,0,99,1,135,64,0,385012,27944,14.6128,100,0,0,0,vulkan_gpu_measurements
13,beacon,6.00387,0.158708,0.18125,0,0,0,0.041917,0.041917,vulkan-query-pool,100,64,64,178,27,147456,178,0,0,1920,0,0,0,0,0,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
14,beacon,8.51133,0.16725,0.14975,0,0,0,0.01625,0.01625,vulkan-query-pool,100,64,64,178,27,147456,178,0,0,1919,0,0,0,0,0,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
15,beacon,8.24346,0.155833,1.54212,0,0,0,0.004167,0.004167,vulkan-query-pool,100,64,64,178,27,147456,178,0,0,1907,0,0,0,0,0,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
16,beacon,7.90517,0.147125,0.061208,0,0,0,0.004208,0.004208,vulkan-query-pool,100,64,64,179,26,147456,179,0,0,1912,0,0,1,0,0.00558659,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
17,beacon,9.20183,0.168292,0.075667,0,0,0,0.013292,0.013292,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1906,0,0,0,0,0,0,99,1,135,64,8,385012,0,0,187,0,8,0,vulkan_gpu_measurements
18,beacon,11.3803,0.161042,0.227292,0,0,0,0.004375,0.004375,vulkan-query-pool,100,72,72,179,25,147456,179,0,0,1895,0,0,0,0,0,0,99,1,135,72,0,438304,53292,16.14,109,0,0,0,vulkan_gpu_measurements
19,beacon,5.997,0.16275,1.14304,0,0,0,0.004666,0.004666,vulkan-query-pool,100,72,72,179,26,147456,179,0,0,1889,0,0,0,0,0,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
20,beacon,6.25625,0.179,0.008542,0,0,0,0.004375,0.004375,vulkan-query-pool,100,72,72,179,26,147456,179,0,0,1887,0,0,0,0,0,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
21,beacon,9.45621,0.178417,0.154666,0,0,0,0.008042,0.008042,vulkan-query-pool,100,72,72,179,26,147456,179,0,0,1899,0,0,0,0,0,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
22,beacon,8.16662,0.181333,0.052709,0,0,0,0.004334,0.004334,vulkan-query-pool,100,72,72,179,26,147456,179,0,0,1918,0,0,0,0,0,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
23,beacon,8.76079,0.182083,0.134166,0,0,0,0.004667,0.004667,vulkan-query-pool,100,72,72,179,26,147456,179,0,0,1921,0,0,0,0,0,0,99,1,135,72,8,438304,0,0,187,0,8,0,vulkan_gpu_measurements
24,beacon,11.2981,0.185916,0.240042,0,0,0,0.005125,0.005125,vulkan-query-pool,100,80,80,179,26,147456,179,0,0,1923,0,0,0,0,0,0,99,1,135,80,0,466928,28624,14.3127,119,0,0,0,vulkan_gpu_measurements
25,beacon,6.05383,0.19325,0.125833,0,0,0,0.012208,0.012208,vulkan-query-pool,100,80,80,179,27,147456,179,0,0,1924,0,0,0,0,0,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
26,beacon,6.42871,0.184792,0.090625,0,0,0,0.004625,0.004625,vulkan-query-pool,100,80,80,179,28,147456,179,0,0,1926,0,0,0,0,0,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
27,beacon,9.585,0.171125,0.133,0,0,0,0.0085,0.0085,vulkan-query-pool,100,80,80,179,28,147456,179,0,0,1933,0,0,0,0,0,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
28,beacon,8.14233,0.200042,0.126209,0,0,0,0.004625,0.004625,vulkan-query-pool,100,80,80,179,28,147456,179,0,0,1936,0,0,0,0,0,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
29,beacon,8.22188,0.188416,0.076167,0,0,0,0.0045,0.0045,vulkan-query-pool,100,80,80,179,28,147456,179,0,0,1948,0,0,0,0,0,0,99,1,135,80,8,466928,0,0,187,0,8,0,vulkan_gpu_measurements
30,beacon,13.1116,0.190125,0.147208,0,0,0,0.004459,0.004459,vulkan-query-pool,100,88,88,179,27,147456,179,0,0,1949,0,0,0,0,0,0,99,1,135,88,0,480464,13536,15.6434,128,0,0,0,vulkan_gpu_measurements
31,beacon,14.5494,0.175208,0.0065,0,0,0,0.0045,0.0045,vulkan-query-pool,100,88,88,179,27,147456,179,0,0,1954,0,0,0,0,0,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
32,beacon,5.96179,0.173958,1.84192,0,0,0,0.005,0.005,vulkan-query-pool,100,88,88,179,27,147456,179,0,0,1947,0,0,0,0,0,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
33,beacon,4.65604,0.177833,0.0965,0,0,0,0.004417,0.004417,vulkan-query-pool,100,88,88,179,27,147456,179,0,0,1946,0,0,0,0,0,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
