frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,adaptive-exact,19.0344,0.146208,0.005166,0,0,0,0.00425,0.00425,vulkan-query-pool,100,48,48,180,24,147456,180,0,0,1964,0,0,72,0,0.4,0.00103564,29.8479,0.712031,0.988235,0.00103564,123,48,0,208980,39252,14.9787,64,0,0,0,vulkan_gpu_measurements
1,adaptive-exact,10.4854,0.135333,0.476666,0,0,0,0.004458,0.004458,vulkan-query-pool,100,48,48,181,24,147456,181,0,0,1965,0,0,74,0,0.40884,0.0010869,29.6381,0.710134,0.988235,5.12515e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
2,adaptive-exact,5.33462,0.139375,0.006291,0,0,0,0.00425,0.00425,vulkan-query-pool,100,48,48,181,24,147456,181,0,0,1967,0,0,74,0,0.40884,0.00111358,29.5328,0.69273,0.988235,2.668e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
3,adaptive-exact,6.69433,0.140292,0.352834,0,0,0,0.004583,0.004583,vulkan-query-pool,100,48,48,180,24,147456,180,0,0,1968,0,0,72,0,0.4,0.00109902,29.59,0.686327,0.988235,1.4558e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
4,adaptive-exact,8.61621,0.13575,0.327125,0,0,0,0.004584,0.004584,vulkan-query-pool,100,48,48,179,24,147456,179,0,0,1958,0,0,70,0,0.391061,0.00114406,29.4155,0.672231,0.988235,4.50383e-05,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
5,adaptive-exact,7.90554,0.144583,0.1875,0,0,0,0.009375,0.009375,vulkan-query-pool,100,48,48,179,24,147456,179,0,0,1948,0,0,70,0,0.391061,0.00113961,29.4324,0.66882,0.988235,4.44282e-06,124,48,8,208980,0,0,165,0,8,0,vulkan_gpu_measurements
6,adaptive-exact,11.817,0.142333,0.005666,0,0,0,0.004833,0.004833,vulkan-query-pool,100,56,56,180,24,147456,180,0,0,1937,0,0,72,0,0.4,0.00104696,29.8007,0.694473,0.988235,9.26549e-05,124,56,0,223664,14684,13.9381,75,0,0,0,vulkan_gpu_measurements
7,adaptive-exact,5.7615,0.129375,0.050291,0,0,0,0.0045,0.0045,vulkan-query-pool,100,56,56,181,24,147456,181,0,0,1937,0,0,74,0,0.40884,0.00107031,29.7049,0.6878,0.988235,2.33482e-05,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
8,adaptive-exact,7.58675,0.133333,0.296625,0,0,0,0.004625,0.004625,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0.00105588,29.7639,0.689279,0.988235,1.44275e-05,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
9,adaptive-exact,8.28671,0.149,0.211042,0,0,0,0.004666,0.004666,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1939,0,0,74,0,0.40884,0.00107532,29.6846,0.683922,0.988235,1.9441e-05,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
10,adaptive-exact,8.51221,0.146583,0.192375,0,0,0,0.004792,0.004792,vulkan-query-pool,100,56,56,180,25,147456,180,0,0,1930,0,0,72,0,0.4,0.00113413,29.4534,0.667179,0.988235,5.88148e-05,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
11,adaptive-exact,8.10775,0.151334,0.31075,0,0,0,0.004833,0.004833,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1942,0,0,74,0,0.40884,0.00118378,29.2673,0.659864,0.988235,4.96412e-05,124,56,8,223664,0,0,164,0,8,0,vulkan_gpu_measurements
12,adaptive-exact,11.9187,0.149208,0.203708,0,0,0,0.007958,0.007958,vulkan-query-pool,100,64,64,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0.00117145,29.3127,0.676947,0.988235,1.23218e-05,124,64,0,243376,19712,14.2694,83,0,0,0,vulkan_gpu_measurements
13,adaptive-exact,5.74379,0.133458,1.66767,0,0,0,0.004542,0.004542,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1923,0,0,70,0,0.391061,0.00125027,29.03,0.670772,0.988235,7.88181e-05,124,64,0,243376,0,0,96,0,0,0,vulkan_gpu_measurements
14,adaptive-exact,7.55958,0.151541,0.181708,0,0,0,0.008916,0.008916,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1922,0,0,70,0,0.391061,0.00106326,29.7336,0.70902,0.988235,0.000187014,124,64,0,243376,0,0,96,0,0,0,vulkan_gpu_measurements
15,adaptive-exact,8.22646,0.140083,0.371709,0,0,0,0.008125,0.008125,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1910,0,0,70,0,0.391061,0.000968021,30.1412,0.727468,0.988235,9.52376e-05,124,64,0,243376,0,0,96,0,0,0,vulkan_gpu_measurements
16,adaptive-exact,8.28742,0.153917,0.272666,0,0,0,0.013917,0.013917,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1912,0,0,70,0,0.391061,0.000972252,30.1222,0.726338,0.988235,4.23143e-06,124,64,0,243376,0,0,96,0,0,0,vulkan_gpu_measurements
