frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,adaptive-exact,9.66038,0.142334,0.098709,0,0,0,0.002333,0.002333,vulkan-query-pool,100,48,48,180,24,147456,180,0,0,1964,0,0,72,0,0.4,0,99,1,135,48,0,324092,92644,13.0453,79,0,0,0,vulkan_gpu_measurements
1,adaptive-exact,8.85712,0.142875,1.1775,0,0,0,0.002959,0.002959,vulkan-query-pool,100,48,48,181,24,147456,181,0,0,1965,0,0,74,0,0.40884,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
2,adaptive-exact,7.41838,0.151459,0.088625,0,0,0,0.010333,0.010333,vulkan-query-pool,100,48,48,181,24,147456,181,0,0,1967,0,0,74,0,0.40884,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
3,adaptive-exact,8.87112,0.150625,0.512208,0,0,0,0.002958,0.002958,vulkan-query-pool,100,48,48,180,24,147456,180,0,0,1968,0,0,72,0,0.4,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
4,adaptive-exact,8.35233,0.163875,0.149875,0,0,0,0.013,0.013,vulkan-query-pool,100,48,48,179,24,147456,179,0,0,1958,0,0,70,0,0.391061,0,99,1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
5,adaptive-exact,8.36229,0.140291,0.519667,0,0,0,0.023333,0.023333,vulkan-query-pool,100,48,48,179,24,147456,179,0,0,1948,0,0,70,0,0.391061,0,99,1,135,48,8,324092,0,0,187,0,8,0,vulkan_gpu_measurements
6,adaptive-exact,9.24371,0.141792,0.026916,0,0,0,0.004208,0.004208,vulkan-query-pool,100,56,56,180,24,147456,180,0,0,1937,0,0,72,0,0.4,0,99,1,135,56,0,357068,32976,12.6283,91,0,0,0,vulkan_gpu_measurements
7,adaptive-exact,7.42221,0.133166,0.220458,0,0,0,0.004208,0.004208,vulkan-query-pool,100,56,56,181,24,147456,181,0,0,1937,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
8,adaptive-exact,8.35063,0.140291,0.275833,0,0,0,0.010208,0.010208,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
9,adaptive-exact,8.19571,0.151708,0.069542,0,0,0,0.004084,0.004084,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1939,0,0,74,0,0.40884,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
10,adaptive-exact,8.33158,0.145375,0.094333,0,0,0,0.016417,0.016417,vulkan-query-pool,100,56,56,180,25,147456,180,0,0,1930,0,0,72,0,0.4,0,99,1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
11,adaptive-exact,8.47971,0.153167,0.285292,0,0,0,0.01375,0.01375,vulkan-query-pool,100,56,56,181,25,147456,181,0,0,1942,0,0,74,0,0.40884,0,99,1,135,56,8,357068,0,0,187,0,8,0,vulkan_gpu_measurements
12,adaptive-exact,11.332,0.158042,0.007208,0,0,0,0.004,0.004,vulkan-query-pool,100,64,64,181,25,147456,181,0,0,1940,0,0,74,0,0.40884,0,99,1,135,64,0,385012,27944,15.148,100,0,0,0,vulkan_gpu_measurements
13,adaptive-exact,5.43758,0.144375,0.149084,0,0,0,0.016166,0.016166,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1923,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
14,adaptive-exact,8.09583,0.162041,0.4025,0,0,0,0.017458,0.017458,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1922,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
15,adaptive-exact,8.41446,0.165125,0.082667,0,0,0,0.004167,0.004167,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1910,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
16,adaptive-exact,8.52942,0.158542,0.416333,0,0,0,0.004209,0.004209,vulkan-query-pool,100,64,64,179,25,147456,179,0,0,1912,0,0,70,0,0.391061,0,99,1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
17,adaptive-exact,8.21346,0.15375,0.192459,0,0,0,0.004167,0.004167,vulkan-query-pool,100,64,64,178,25,147456,178,0,0,1903,0,0,68,0,0.382022,0,99,1,135,64,8,385012,0,0,187,0,8,0,vulkan_gpu_measurements
18,adaptive-exact,10.4816,0.159459,0.006208,0,0,0,0.043292,0.043292,vulkan-query-pool,100,72,72,179,24,147456,179,0,0,1895,0,0,70,0,0.391061,0,99,1,135,72,0,438304,53292,13.022,109,0,0,0,vulkan_gpu_measurements
19,adaptive-exact,6.23879,0.148,0.054708,0,0,0,0.004542,0.004542,vulkan-query-pool,100,72,72,179,24,147456,179,0,0,1889,0,0,70,0,0.391061,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
20,adaptive-exact,8.30637,0.17275,0.083375,0,0,0,0.004375,0.004375,vulkan-query-pool,100,72,72,180,24,147456,180,0,0,1893,0,0,72,0,0.4,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
21,adaptive-exact,8.45392,0.170416,0.744584,0,0,0,0.046791,0.046791,vulkan-query-pool,100,72,72,181,26,147456,181,0,0,1908,0,0,74,0,0.40884,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
22,adaptive-exact,8.28196,0.1605,0.226958,0,0,0,0.007917,0.007917,vulkan-query-pool,100,72,72,181,26,147456,181,0,0,1927,0,0,74,0,0.40884,0,99,1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
23,adaptive-exact,8.40687,0.175792,0.070042,0,0,0,0.004458,0.004458,vulkan-query-pool,100,72,72,180,26,147456,180,0,0,1923,0,0,72,0,0.4,0,99,1,135,72,8,438304,0,0,187,0,8,0,vulkan_gpu_measurements
24,adaptive-exact,11.6663,0.183666,0.005292,0,0,0,0.00475,0.00475,vulkan-query-pool,100,80,80,180,26,147456,180,0,0,1925,0,0,72,0,0.4,0,99,1,135,80,0,466928,28624,15.3654,119,0,0,0,vulkan_gpu_measurements
25,adaptive-exact,5.96696,0.1665,1.14108,0,0,0,0.004459,0.004459,vulkan-query-pool,100,80,80,180,26,147456,180,0,0,1926,0,0,72,0,0.4,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
26,adaptive-exact,7.07463,0.17925,0.626917,0,0,0,0.006584,0.006584,vulkan-query-pool,100,80,80,180,26,147456,180,0,0,1928,0,0,72,0,0.4,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
27,adaptive-exact,8.92125,0.182375,0.635791,0,0,0,0.034083,0.034083,vulkan-query-pool,100,80,80,179,26,147456,179,0,0,1931,0,0,70,0,0.391061,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
28,adaptive-exact,8.06292,0.170959,0.568666,0,0,0,0.004791,0.004791,vulkan-query-pool,100,80,80,179,26,147456,179,0,0,1934,0,0,70,0,0.391061,0,99,1,135,80,0,466928,0,0,128,0,0,0,vulkan_gpu_measurements
29,adaptive-exact,8.31137,0.18825,0.523917,0,0,0,0.008167,0.008167,vulkan-query-pool,100,80,80,179,26,147456,179,0,0,1946,0,0,70,0,0.391061,0,99,1,135,80,8,466928,0,0,187,0,8,0,vulkan_gpu_measurements
30,adaptive-exact,12.5295,0.207875,0.005916,0,0,0,0.00825,0.00825,vulkan-query-pool,100,88,88,179,26,147456,179,0,0,1948,0,0,70,0,0.391061,0,99,1,135,88,0,480464,13536,15.2443,128,0,0,0,vulkan_gpu_measurements
31,adaptive-exact,14.94,0.178875,0.007959,0,0,0,0.006625,0.006625,vulkan-query-pool,100,88,88,179,26,147456,179,0,0,1953,0,0,70,0,0.391061,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
32,adaptive-exact,5.92671,0.159041,0.21925,0,0,0,0.007917,0.007917,vulkan-query-pool,100,88,88,179,25,147456,179,0,0,1946,0,0,70,0,0.391061,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
33,adaptive-exact,4.60446,0.16325,0.007125,0,0,0,0.004791,0.004791,vulkan-query-pool,100,88,88,178,25,147456,178,0,0,1942,0,0,68,0,0.382022,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
34,adaptive-exact,4.50713,0.176291,0.387667,0,0,0,0.004375,0.004375,vulkan-query-pool,100,88,88,178,25,147456,178,0,0,1938,0,0,68,0,0.382022,0,99,1,135,88,0,480464,0,0,136,0,0,0,vulkan_gpu_measurements
35,adaptive-exact,7.34,0.203916,0.206416,0,0,0,0.004583,0.004583,vulkan-query-pool,100,88,88,178,26,147456,178,0,0,1938,0,0,68,0,0.382022,0,99,1,135,88,8,480464,0,0,187,0,8,0,vulkan_gpu_measurements
36,adaptive-exact,9.87708,0.161292,0.03475,0,0,0,0.095958,0.095958,vulkan-query-pool,100,96,96,178,26,147456,178,0,0,1929,0,0,68,0,0.382022,0,99,1,135,96,0,533332,52868,12.3613,136,0,0,0,vulkan_gpu_measurements
37,adaptive-exact,6.72629,0.15575,0.227042,0,0,0,0.004625,0.004625,vulkan-query-pool,100,96,96,178,26,147456,178,0,0,1919,0,0,68,0,0.382022,0,99,1,135,96,0,533332,0,0,146,0,0,0,vulkan_gpu_measurements
38,adaptive-exact,8.25692,0.151625,0.337125,0,0,0,0.0045,0.0045,vulkan-query-pool,100,96,96,178,27,147456,178,0,0,1914,0,0,68,0,0.382022,0,99,1,135,96,0,533332,0,0,146,0,0,0,vulkan_gpu_measurements
39,adaptive-exact,8.33071,0.185042,0.12625,0,0,0,0.004542,0.004542,vulkan-query-pool,100,96,96,178,27,147456,178,0,0,1908,0,0,68,0,0.382022,0,99,1,135,96,0,533332,0,0,146,0,0,0,vulkan_gpu_measurements
40,adaptive-exact,7.27071,0.174083,0.658542,0,0,0,0.005375,0.005375,vulkan-query-pool,100,96,96,177,27,147456,177,0,0,1889,0,0,66,0,0.372881,0,99,1,135,96,0,533332,0,0,146,0,0,0,vulkan_gpu_measurements
41,adaptive-exact,9.50008,0.161792,0.443375,0,0,0,0.004667,0.004667,vulkan-query-pool,100,96,96,175,27,147456,175,0,0,1877,0,0,62,0,0.354286,0,99,1,135,96,8,533332,0,0,187,0,8,0,vulkan_gpu_measurements
42,adaptive-exact,11.004,0.180333,0.0635,0,0,0,0.156834,0.156834,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1855,0,0,58,0,0.33526,0,99,1,135,104,0,550092,16760,14.3169,146,0,0,0,vulkan_gpu_measurements
43,adaptive-exact,6.15571,0.164125,0.107834,0,0,0,0.004167,0.004167,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1855,0,0,58,0,0.33526,0,99,1,135,104,0,550092,0,0,154,0,0,0,vulkan_gpu_measurements
44,adaptive-exact,7.92537,0.173208,0.205417,0,0,0,0.004167,0.004167,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1854,0,0,58,0,0.33526,0,99,1,135,104,0,550092,0,0,154,0,0,0,vulkan_gpu_measurements
45,adaptive-exact,8.54529,0.193125,0.586333,0,0,0,0.004083,0.004083,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1844,0,0,58,0,0.33526,0,99,1,135,104,0,550092,0,0,154,0,0,0,vulkan_gpu_measurements
46,adaptive-exact,8.15983,0.175125,0.445125,0,0,0,0.004,0.004,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1844,0,0,58,0,0.33526,0,99,1,135,104,0,550092,0,0,154,0,0,0,vulkan_gpu_measurements
47,adaptive-exact,8.39808,0.179417,0.227583,0,0,0,0.00425,0.00425,vulkan-query-pool,100,104,104,173,27,147456,173,0,0,1842,0,0,58,0,0.33526,0,99,1,135,104,8,550092,0,0,187,0,8,0,vulkan_gpu_measurements
48,adaptive-exact,12.173,0.189958,0.005583,0,0,0,0.004125,0.004125,vulkan-query-pool,100,112,112,176,27,147456,176,0,0,1862,0,0,64,0,0.363636,0,99,1,135,112,0,584928,34836,15.7341,154,0,0,0,vulkan_gpu_measurements
49,adaptive-exact,6.18788,0.171667,0.588584,0,0,0,1.17396,1.17396,vulkan-query-pool,100,112,112,176,27,147456,176,0,0,1864,0,0,64,0,0.363636,0,99,1,135,112,0,584928,0,0,163,0,0,0,vulkan_gpu_measurements
