frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.45854,0,0.189959,0.039709,0.113833,0.036417,0.003458,0.003458,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,39252,15.5192,64,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,7.14642,0,0.176459,0.039125,0.104292,0.033042,0.0035,0.0035,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,7.25012,0,0.176333,0.039292,0.104041,0.033,0.0035,0.0035,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,7.28492,0,0.211875,0.050167,0.101208,0.0605,0.004584,0.004584,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,7.29887,0,0.299208,0.0505,0.098875,0.149833,0.004541,0.004541,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,123,48,0,208980,0,0,75,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.36846,0,0.227292,0.0495,0.126084,0.051708,0.004416,0.004416,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,48,8,208980,0,0,165,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,7.13225,0,0.316875,0.051791,0.089334,0.17575,0.004416,0.004416,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,14684,14.8235,75,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,7.48987,0,0.205584,0.049459,0.107291,0.048834,0.004292,0.004292,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.34012,0,0.219042,0.050083,0.104417,0.064542,0.0045,0.0045,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,7.12171,0,0.222792,0.049292,0.088792,0.084708,0.004458,0.004458,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,124,56,0,223664,0,0,83,0,0,0,vulkan_gpu_measurements
