frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
0,gpu-clustered,8.70354,0,0.221709,0.050875,0.089292,0.081542,0.004542,0.004542,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,92644,16.2934,79,0,0,0,vulkan_gpu_measurements
1,gpu-clustered,7.13246,0,0.217042,0.049959,0.101875,0.065208,0.00425,0.00425,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
2,gpu-clustered,7.25408,0,0.216833,0.050708,0.102,0.064125,0.004375,0.004375,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
3,gpu-clustered,7.26254,0,0.219208,0.050042,0.087625,0.081541,0.004542,0.004542,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
4,gpu-clustered,7.33558,0,0.20825,0.048375,0.099792,0.060083,0.004375,0.004375,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,0,324092,0,0,91,0,0,0,vulkan_gpu_measurements
5,gpu-clustered,7.31946,0,0.217292,0.053583,0.100959,0.06275,0.004292,0.004292,vulkan-query-pool,100,48,48,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,48,8,324092,0,0,187,0,8,0,vulkan_gpu_measurements
6,gpu-clustered,7.30125,0,0.208917,0.049875,0.115083,0.043959,0.004333,0.004333,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,32976,14.6646,91,0,0,0,vulkan_gpu_measurements
7,gpu-clustered,7.20817,0,0.199791,0.04975,0.102125,0.047916,0.004375,0.004375,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
8,gpu-clustered,7.28129,0,0.20925,0.0485,0.101334,0.059416,0.004417,0.004417,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
9,gpu-clustered,7.24779,0,0.222125,0.049166,0.089375,0.083584,0.00425,0.00425,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
10,gpu-clustered,7.2725,0,0.230541,0.049333,0.091292,0.089916,0.00425,0.00425,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,0,357068,0,0,100,0,0,0,vulkan_gpu_measurements
11,gpu-clustered,7.25633,0,0.211041,0.050541,0.117,0.0435,0.004333,0.004333,vulkan-query-pool,100,56,56,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,56,8,357068,0,0,187,0,8,0,vulkan_gpu_measurements
12,gpu-clustered,7.30346,0,0.204541,0.051083,0.102708,0.05075,0.0055,0.0055,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,385012,27944,14.5794,100,0,0,0,vulkan_gpu_measurements
13,gpu-clustered,7.3065,0,0.205583,0.052625,0.102792,0.050166,0.005083,0.005083,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
14,gpu-clustered,7.35358,0,0.207125,0.051583,0.104167,0.051375,0.004583,0.004583,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
15,gpu-clustered,7.30629,0,0.267875,0.052041,0.107042,0.108792,0.0055,0.0055,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
16,gpu-clustered,7.18637,0,0.244333,0.052667,0.138291,0.053375,0.004417,0.004417,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,0,385012,0,0,109,0,0,0,vulkan_gpu_measurements
17,gpu-clustered,7.07846,0,0.273292,0.052958,0.113667,0.106667,0.006,0.006,vulkan-query-pool,100,64,64,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,64,8,385012,0,0,187,0,8,0,vulkan_gpu_measurements
18,gpu-clustered,7.59087,0,0.312125,0.053541,0.203584,0.055,0.004542,0.004542,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,438304,53292,15.5164,109,0,0,0,vulkan_gpu_measurements
19,gpu-clustered,7.08833,0,0.238875,0.06,0.09075,0.088125,0.0045,0.0045,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,-1,-1,-1,135,72,0,438304,0,0,119,0,0,0,vulkan_gpu_measurements
